System,Subject,Category,Item,Year,No. of Cases
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2005/12/31,7
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2005/12/31,12
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2005/12/31,14
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2005/12/31,31
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2005/12/31,2
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2005/12/31,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2005/12/31,23
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2005/12/31,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2005/12/31,26
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2005/12/31,38
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2005/12/31,78
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2005/12/31,43
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2005/12/31,37
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2005/12/31,41
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2005/12/31,133
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2005/12/31,29
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2005/12/31,50
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2005/12/31,102
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2005/12/31,15
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2005/12/31,22
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2006/12/31,438
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2006/12/31,77
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2006/12/31,233
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2006/12/31,12
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2006/12/31,46
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2006/12/31,467
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2006/12/31,339
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2006/12/31,521
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2006/12/31,30
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2006/12/31,9
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2006/12/31,27
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2006/12/31,25
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2006/12/31,43
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2006/12/31,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2006/12/31,5
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2006/12/31,8
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2006/12/31,10
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2006/12/31,79
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2006/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2006/12/31,3
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2006/12/31,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2006/12/31,8
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2006/12/31,19
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2006/12/31,17
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2006/12/31,9
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2006/12/31,34
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2006/12/31,37
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2006/12/31,32
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2006/12/31,59
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2006/12/31,35
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2006/12/31,27
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2006/12/31,72
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2006/12/31,32
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2006/12/31,23
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2006/12/31,26
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2006/12/31,127
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2006/12/31,36
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2006/12/31,78
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2006/12/31,102
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2006/12/31,6
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2006/12/31,27
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2007/12/31,499
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2007/12/31,114
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2007/12/31,270
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2007/12/31,20
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2007/12/31,41
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2007/12/31,571
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2007/12/31,373
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2007/12/31,581
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2007/12/31,16
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2007/12/31,9
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2007/12/31,29
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2007/12/31,17
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2007/12/31,52
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2007/12/31,23
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2007/12/31,6
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2007/12/31,5
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2007/12/31,11
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2007/12/31,114
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2007/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2007/12/31,3
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2007/12/31,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2007/12/31,9
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2007/12/31,20
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2007/12/31,14
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2007/12/31,25
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2007/12/31,12
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2007/12/31,49
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2007/12/31,44
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2007/12/31,56
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2007/12/31,60
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2007/12/31,51
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2007/12/31,77
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2007/12/31,48
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2007/12/31,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2007/12/31,47
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2007/12/31,144
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2007/12/31,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2007/12/31,72
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2007/12/31,110
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2007/12/31,7
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2007/12/31,39
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2008/12/31,483
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2008/12/31,78
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2008/12/31,277
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2008/12/31,15
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2008/12/31,29
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2008/12/31,508
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2008/12/31,374
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2008/12/31,535
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2008/12/31,26
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2008/12/31,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2008/12/31,33
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2008/12/31,16
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2008/12/31,62
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2008/12/31,20
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2008/12/31,5
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2008/12/31,13
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2008/12/31,7
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2008/12/31,84
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2008/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2008/12/31,15
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2008/12/31,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2008/12/31,8
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2008/12/31,17
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2008/12/31,20
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2008/12/31,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2008/12/31,4
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2008/12/31,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2008/12/31,32
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2008/12/31,62
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2008/12/31,46
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2008/12/31,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2008/12/31,72
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2008/12/31,68
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2008/12/31,27
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2008/12/31,38
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2008/12/31,124
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2008/12/31,28
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2008/12/31,68
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2008/12/31,94
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2008/12/31,14
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2008/12/31,49
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2009/12/31,503
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2009/12/31,102
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2009/12/31,331
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2009/12/31,15
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2009/12/31,42
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2009/12/31,589
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2009/12/31,404
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2009/12/31,569
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2009/12/31,27
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2009/12/31,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2009/12/31,34
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2009/12/31,23
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2009/12/31,79
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2009/12/31,28
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2009/12/31,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2009/12/31,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2009/12/31,9
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2009/12/31,103
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2009/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2009/12/31,29
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2009/12/31,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2009/12/31,19
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2009/12/31,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2009/12/31,15
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2009/12/31,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2009/12/31,10
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2009/12/31,33
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2009/12/31,42
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2009/12/31,51
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2009/12/31,59
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2009/12/31,55
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2009/12/31,78
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2009/12/31,79
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2009/12/31,34
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2009/12/31,47
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2009/12/31,145
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2009/12/31,30
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2009/12/31,63
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2009/12/31,117
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2009/12/31,10
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2009/12/31,52
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2010/12/31,488
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2010/12/31,113
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2010/12/31,334
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological abuse,2010/12/31,18
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2010/12/31,48
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2010/12/31,628
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2010/12/31,373
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2010/12/31,580
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2010/12/31,13
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2010/12/31,43
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2010/12/31,15
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2010/12/31,28
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2010/12/31,66
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2010/12/31,25
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2010/12/31,10
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2010/12/31,14
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2010/12/31,8
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2010/12/31,101
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2010/12/31,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2010/12/31,95
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2010/12/31,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2010/12/31,18
