System,Subject,Category,Item,Year,No. of Cases
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Shatin,2006,306
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tai Po,2006,135
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,North,2006,209
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yuen Long,2006,609
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tsuen Wan,2006,204
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwai Tsing,2006,356
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tuen Mun,2006,346
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Outside Hong Kong/Unknown,2006,34
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Rape/Unlawful Sexual Intercourse,2006,100
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Indecent assault,2006,579
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced masturbation,2006,1
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced oral sex,2006,1
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Unlawful Buggery,2006,1
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Others,2006,6
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Multiple Abuse,2006,16
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Female,2006,696
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Male,2006,8
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent/child/sibling/in-laws,2006,14
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Child,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Sibling,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,In-law,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Other relative,2006,9
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual lover,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex lover,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-lover,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex ex-lover,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Friend,2006,103
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Caregiver (Non-relative),2006,3
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Employer / employee / colleague,2006,73
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Teacher / tutor,2006,10
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Stranger,2006,455
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Others,2006,24
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Unknown,2006,13
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Central & Western,2006,57
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Southern,2006,14
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Island,2006,8
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Eastern,2006,47
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wan Chai,2006,55
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kowloon City,2006,31
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yau Tsim Mong,2006,84
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sham Shui Po,2006,38
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wong Tai Sin,2006,37
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sai Kung,2006,18
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwun Tong,2006,46
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Shatin,2006,54
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tai Po,2006,18
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,North,2006,12
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yuen Long,2006,44
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tsuen Wan,2006,34
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwai Tsing,2006,38
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tuen Mun,2006,45
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong/Unknown,2006,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong ,2006,6
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Unknown,2006,18
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2007,4399
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2007,10
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2007,1737
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2007,258
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2007,5169
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2007,1235
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Husband,2007,4207
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Wife,2007,992
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Male Cohabitant,2007,408
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Female Cohabitant,2007,91
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged husband / ex-husband,2007,204
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Estranged wife / ex-wife,2007,61
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Boyfriend,2007,350
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Girlfriend,2007,91
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual cohabitant,2007,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex cohabitant,2007,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-cohabitant,2007,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Perpetrator's Relationship with the Victim,Same-sex ex-cohabitant,2007,
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Central & Western,2007,127
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Southern,2007,132
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Island,2007,117
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Eastern,2007,450
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wan Chai,2007,121
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kowloon City,2007,231
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yau Tsim Mong,2007,320
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sham Shui Po,2007,330
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Wong Tai Sin,2007,426
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Sai Kung,2007,256
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwun Tong,2007,640
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Shatin,2007,332
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tai Po,2007,163
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,North,2007,337
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Yuen Long,2007,810
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tsuen Wan,2007,341
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Kwai Tsing,2007,797
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Tuen Mun,2007,410
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Residential District of Victim at the Time of Incident,Outside Hong Kong/Unknown,2007,64
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Rape/Unlawful Sexual Intercourse,2007,90
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Indecent assault,2007,684
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced masturbation,2007,0
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Forced oral sex,2007,1
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Unlawful Buggery,2007,0
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Others,2007,6
CISSCBSV,Newly Reported Sexual Violence Cases,Type of Incident,Multiple Abuse,2007,16
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Female,2007,788
CISSCBSV,Newly Reported Sexual Violence Cases,Sex of Victim,Male,2007,9
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent/child/sibling/in-laws,2007,16
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Parent,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Child,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Sibling,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,In-law,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Other relative,2007,13
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual lover,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex lover,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Heterosexual ex-lover,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Same-sex ex-lover,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Friend,2007,92
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Caregiver (Non-relative),2007,2
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Employer / employee / colleague,2007,97
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Teacher / tutor,2007,12
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Stranger,2007,526
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Others,2007,39
CISSCBSV,Newly Reported Sexual Violence Cases,Perpetrator's Relationship with the Victim,Unknown,2007,0
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Central & Western,2007,50
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Southern,2007,11
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Island,2007,12
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Eastern,2007,41
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wan Chai,2007,68
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kowloon City,2007,48
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yau Tsim Mong,2007,123
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sham Shui Po,2007,36
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Wong Tai Sin,2007,39
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Sai Kung,2007,35
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwun Tong,2007,48
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Shatin,2007,38
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tai Po,2007,13
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,North,2007,16
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Yuen Long,2007,49
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tsuen Wan,2007,49
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Kwai Tsing,2007,31
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Tuen Mun,2007,51
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong/Unknown,2007,
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Outside Hong Kong ,2007,0
CISSCBSV,Newly Reported Sexual Violence Cases,District Where Incident Happened,Unknown,2007,39
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Physical violence,2008,4142
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Sexual violence,2008,16
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Psychological abuse,2008,2509
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Type of Violence,Multiple violence,2008,176
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Female,2008,5575
CISSCBSV,Newly Reported Spouse / Cohabitant Battering Cases,Sex of Victim,Male,2008,1268
